tryb,fraktal,rozdzielczosc,iteracje,czas_ms
GPU,mandelbrot,1920x1080,100,257
GPU,julia,1920x1080,100,181
GPU,newton,1920x1080,100,191
GPU,mandelbrot,1920x1080,500,204
GPU,julia,1920x1080,500,237
GPU,newton,1920x1080,500,200
GPU,mandelbrot,1920x1080,1000,156
GPU,julia,1920x1080,1000,182
GPU,newton,1920x1080,1000,184
GPU,mandelbrot,3840x2160,100,232
GPU,julia,3840x2160,100,186
GPU,newton,3840x2160,100,221
GPU,mandelbrot,3840x2160,500,200
GPU,julia,3840x2160,500,217
GPU,newton,3840x2160,500,207
GPU,mandelbrot,3840x2160,1000,203
GPU,julia,3840x2160,1000,250
GPU,newton,3840x2160,1000,199
GPU,mandelbrot,7680x4320,100,277
GPU,julia,7680x4320,100,238
GPU,newton,7680x4320,100,390
GPU,mandelbrot,7680x4320,500,260
GPU,julia,7680x4320,500,276
GPU,newton,7680x4320,500,352
GPU,mandelbrot,7680x4320,1000,278
GPU,julia,7680x4320,1000,285
GPU,newton,7680x4320,1000,343
GPU,mandelbrot,15360x8640,100,442
GPU,julia,15360x8640,100,520
GPU,newton,15360x8640,100,859
GPU,mandelbrot,15360x8640,500,554
GPU,julia,15360x8640,500,524
GPU,newton,15360x8640,500,812
GPU,mandelbrot,15360x8640,1000,528
GPU,julia,15360x8640,1000,509
GPU,newton,15360x8640,1000,802
CPU,julia,1920x1080,100,3093
CPU,mandelbrot,1920x1080,100,3465
CPU,newton,1920x1080,500,4243
CPU,newton,1920x1080,100,4531
CPU,julia,1920x1080,500,4979
CPU,newton,1920x1080,1000,5185
CPU,julia,1920x1080,1000,5381
CPU,mandelbrot,1920x1080,500,11749
CPU,mandelbrot,1920x1080,1000,20590
CPU,julia,3840x2160,100,8272
CPU,mandelbrot,3840x2160,100,10946
CPU,newton,3840x2160,500,11587
CPU,newton,3840x2160,1000,11999
CPU,newton,3840x2160,100,12735
CPU,julia,3840x2160,1000,15287
CPU,julia,3840x2160,500,15290
CPU,mandelbrot,3840x2160,500,32709
CPU,mandelbrot,3840x2160,1000,66238
CPU,julia,7680x4320,100,29611
CPU,mandelbrot,7680x4320,100,43060
CPU,mandelbrot,15360x8640,500,544044
CPU,newton,7680x4320,500,49491
CPU,newton,7680x4320,1000,50886
CPU,newton,7680x4320,100,51188
CPU,julia,7680x4320,500,57916
CPU,julia,7680x4320,1000,63102
CPU,mandelbrot,7680x4320,500,132815
CPU,mandelbrot,7680x4320,1000,248847
CPU,julia,15360x8640,100,112945
CPU,mandelbrot,15360x8640,100,135358
CPU,newton,15360x8640,100,154927
CPU,newton,15360x8640,1000,172172
CPU,newton,15360x8640,500,187096
CPU,julia,15360x8640,500,198668
CPU,julia,15360x8640,1000,215995
CPU,mandelbrot,15360x8640,1000,1034824
CPU,mandelbrot,15360x8640,500,506327
CPU,mandelbrot,15360x8640,1000,965799
